targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
CSO395,966,UGC07207,11,"('182.81083333333333', '36.96111111111111')","('183.07819', '37.01481')",0.9927843420019397,0.13362677539716408,115.67938547921628,61.615063093370274,83.3986594329305,x,1324.0,1051.0,85.0,21.7,x,15.6,7.8,60.0,112.0,36.1,137.45,.I..9..,-99.99,-99,IB(s)m_V,IB(s)m_V,0.003506
CSO395,966,UGC07125,11,"('182.81083333333333', '36.96111111111111')","('182.17638', '36.80275')",0.6761293019644673,0.0075730003855691294,94.29225294809766,39.50817636894925,84.80502473239302,x,1345.0,1071.0,105.0,9.14,x,11.6,2.0,80.0,85.0,12.3,280.64,.S..9..,-99.99,85.0,Sdm,Sdm,0.003572
CSO395,966,NGC4151,11,"('182.81083333333333', '36.96111111111111')","('182.63574', '39.40573')",0.0002788310616854892,5.205985593557216e-26,85.70018272660332,32.098302135782816,244.86687575048188,x,1263.0,995.0,29.0,5.73,x,10.1,8.1,36.0,130.0,46.7,378.57,PSXT2*.,-99.99,50.0,(R')SAB(rs)ab:_Sy1.5,(R')SAB(rs)ab:_Sy1.5,0.003319
CSO395,966,UGC07257,11,"('182.81083333333333', '36.96111111111111')","('183.76233', '35.9585')",1.579440114826073e-20,0.0,40.43155575527607,6.269290230959163,272.96610058515955,x,1218.0,942.0,-24.0,12.4,x,3.4,1.5,64.0,170.0,27.2,80.94,.S..8*.,-99.99,160.0,Sdm:,Sdm:,0.003142
CSO395,966,NGC4145A,11,"('182.81083333333333', '36.96111111111111')","('182.72726', '39.75737')",2.1811588379856433e-27,0.0,57.0492236372708,13.252018714143139,443.26123828725076,x,1435.0,1168.0,202.0,9.08,x,5.6,1.3,76.0,75.0,76.4,-99.99,x,-99.99,-99,Spiral,Spiral,0.003896
CSO395,966,SDSSJ121116.75+374917.0,11,"('182.81083333333333', '36.96111111111111')","('182.81983', '37.82142')",2.3297894080479777e-35,0.0,27.060759693886542,2.618969262897142,241.30293575628113,x,1142.0,870.0,-96.0,16.07,x,1.9,1.0,59.0,162.0,18.5,-99.99,x,-99.99,-99,x,x,0.002901
CSO395,966,SDSSJ120809.74+372724.6,11,"('182.81083333333333', '36.96111111111111')","('182.0406', '37.45685')",2.460709250529249e-44,0.0,26.06981975654495,2.414953415699773,260.85677697960017,x,1346.0,1074.0,108.0,18.95,x,1.8,1.6,32.0,130.0,1.1,-99.99,x,-99.99,-99,x,x,0.003583
CSO395,966,MCG+06-27-038,11,"('182.81083333333333', '36.96111111111111')","('183.75746', '35.96494')",1.92606672340447e-71,0.0,29.941368737561735,3.263127334322092,382.0640217110571,x,1240.0,964.0,-2.0,17.46,x,2.2,1.7,38.0,81.0,61.8,-99.99,x,-99.99,-99,x,x,0.003215
CSO395,966,SDSSJ120901.58+353540.7,11,"('182.81083333333333', '36.96111111111111')","('182.25658', '35.59467')",6.758248520513378e-85,0.0,26.06981975654495,2.414953415699773,361.8176075347045,x,1024.0,748.0,-218.0,14.42,x,1.8,1.0,55.0,8.0,10.0,-99.99,x,-99.99,-99,x,x,0.002494
CSO395,966,SDSSJ122143.14+375913.8,11,"('182.81083333333333', '36.96111111111111')","('185.4292', '37.98718')",0.0,0.0,3.548133892335755,0.0316227766016838,306.98708091768844,x,839.0,567.0,-399.0,7.59,x,0.1,0.0,78.0,174.0,69.9,-99.99,x,-99.99,-99,dwarf_Irr,dwarf_Irr,0.001892
CSO395,966,UMaDwarf,11,"('182.81083333333333', '36.96111111111111')","('158.72', '51.92')",-99.99,-99.99,-99.99,-99.99,39.450615527023416,x,1313.0,1101.0,135.0,0.1,x,-99.99,-99.99,-99,-99,46.9,-99.99,x,-99.99,-99,dSph,dSph,0.003673
